Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
a44ffbbc66875c0f129bae88440b7ff3ffa7c4285e8ed1296f5cc4040faefb4b,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.148007,52.047995,On or near BELSTEAD AVENUE,E01029968,Ipswich 012A,Investigation complete; no suspect identified
4d44e59858d4ec1e2db81418701cefe30a516871569b54319b8d2603de00502f,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.184038,52.069124,On or near SHETLAND CLOSE,E01030001,Ipswich 004E,Investigation complete; no suspect identified
c91cdb59f91fdf9ed34e52a29d84c4bb1a3442163183f47da49cfccc5e3a221c,2017-03,Suffolk Constabulary,Suffolk Constabulary,0.521285,52.349348,On or near CLARE CLOSE,E01029938,Forest Heath 004A,Investigation complete; no suspect identified
343fab719a56dc81eae4dba016a4f97f765eac246ef34a73830be5a6868bc315,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.709506,52.473879,On or near Parking Area,E01030289,Waveney 005D,Investigation complete; no suspect identified
eadfce07078d89920903393d8bcc66a9ccc8d8b57208521b6b80d4bbaa4f23a7,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.167775,52.057520,On or near LANCASTER ROAD,E01029962,Ipswich 007E,Investigation complete; no suspect identified
403e9613e74613b2102bd144b83c0d1280b6126ea01d82f2f4e23d2daae5e689,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.152112,52.057814,On or near Nightclub,E01033125,Ipswich 007G,Investigation complete; no suspect identified
4152c054b9af048bf52fef562160b3208b8fc4b7f7ccdb2aa336552d01703ed1,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.746447,52.480260,On or near CROWN MEADOW WALK,E01030261,Waveney 002A,Investigation complete; no suspect identified
bb00e87b8b3369e089c1b7a4a7258167ddf8be6f32de0ad2cea6229a82537cf5,2017-03,Suffolk Constabulary,Suffolk Constabulary,0.430325,52.080314,On or near CLEMENTS DRIVE,E01030115,St Edmundsbury 013A,Investigation complete; no suspect identified
ae8cd7ee3bc32a3b639c458d1209f64e1bea4120b6236cd8308d7ab38d5c6ef9,2017-03,Suffolk Constabulary,Suffolk Constabulary,0.712620,52.244668,On or near ABBEYGATE STREET,E01030091,St Edmundsbury 006A,Investigation complete; no suspect identified
9a5f9ba4d41ad9dc6d9397ca6ebc395d83aa559d6683ceb5541d7e7a67304ebd,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.140002,52.065297,On or near NORWICH ROAD,E01030022,Ipswich 006A,Investigation complete; no suspect identified
fc1b33d342e14ffa177b826966778dc1476a36ce9b5586ae4348a76377860a79,2017-03,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Investigation complete; no suspect identified
af18f860664ad1070e5e8cb1986782d8ffd52cec97f86e8cffc5b9a2cfcdf39b,2017-03,Suffolk Constabulary,Suffolk Constabulary,0.710430,52.160886,On or near CHURCHILL CLOSE,E01029881,Babergh 002A,Investigation complete; no suspect identified
346d3409916e163e38f97b060c7543db14b446d68b404c001ad1273310776189,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.131450,52.046943,On or near JASMINE CLOSE,E01029986,Ipswich 010C,Investigation complete; no suspect identified
9dffde6f776827dcc493c41a458bdcc938cada54e2b36d419fa9893ecb2e2342,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.571080,52.452842,On or near INGATE,E01030223,Waveney 010A,Investigation complete; no suspect identified
5956b61fb0c568e859f3c4710e4c09825b4038ff254ff986c50667ab96ce65d1,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.569895,52.449298,On or near Supermarket,E01030223,Waveney 010A,Investigation complete; no suspect identified
a3ef4b554a1b7003c0c439c82033243e43171a06eb891e169100eb71c3434e6e,2017-03,Suffolk Constabulary,Suffolk Constabulary,0.996092,52.192446,On or near CROWN STREET,E01030076,Mid Suffolk 010D,Investigation complete; no suspect identified
1c25da6c71170dd2a3dd3f8677e2b5a36e694a6d7342666a75ba9e7295f2bed9,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.150779,52.058983,On or near HIGH STREET,E01033125,Ipswich 007G,Investigation complete; no suspect identified
3845c1d5ec32fbc644bd984cd8552ca952d12176b15a0fa6ef25801673677540,2017-03,Suffolk Constabulary,Suffolk Constabulary,0.706902,52.252056,On or near FEN WAY,E01033043,St Edmundsbury 006E,Investigation complete; no suspect identified
10831a37c724bd5a12065651326044aede49681f7b2c23b34c7aaabd9cb72508,2017-03,Suffolk Constabulary,Suffolk Constabulary,1.743636,52.482373,On or near Further/Higher Educational Building,E01030261,Waveney 002A,Investigation complete; no suspect identified
