Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
4aa3608476e0b6db32c6b09d32fec40873c5cb4dc2ea45d5db9f8a63312080e7,2017-03,Norfolk Constabulary,Norfolk Constabulary,0.448955,52.774463,On or near STODY DRIVE,E01026710,King's Lynn and West Norfolk 005E,Investigation complete; no suspect identified
785a5173b6ffcfdf3145e7602cec25a007571b88e74eb30aec1d2026807d99ae,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.291218,52.624268,On or near Supermarket,E01026822,Norwich 007A,Investigation complete; no suspect identified
f9c3822a0ea9ca1852a224c58535206cada636ef721966a81aaaa5cc60d4e622,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.295166,52.628430,On or near CASTLE MEADOW,E01026822,Norwich 007A,Investigation complete; no suspect identified
e1c486a05c95552c8d1d75db411f9c8e8154c0e05b5cf5330bc5344192f4ea3c,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.302884,52.482607,On or near WORKHOUSE LANE,E01026904,South Norfolk 012E,Investigation complete; no suspect identified
8186f9e571b73a2cdea17c9128cf44b223d98519cd3a38a3aef0b60176f62e8e,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.243751,52.637891,On or near CLARKSON ROAD,E01026867,Norwich 006E,Investigation complete; no suspect identified
3cac46721bc4de6255e87969250ddc2c8cab5aa52e00dc6e23187b056ae8a120,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.251763,52.631897,On or near FILBY CLOSE,E01026865,Norwich 006C,Investigation complete; no suspect identified
762ef3a181473636775d23f70f913bdba21e07fbd43b8e62a175347b1d7f8de5,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.295558,52.637377,On or near EDWARD STREET,E01026826,Norwich 007E,Investigation complete; no suspect identified
5da7fd90f728825242d79f481f6816d87162abd7fc49e06ce25eb9a2e7425cc1,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.111830,52.570448,On or near MARKET STREET,E01026870,South Norfolk 005A,Investigation complete; no suspect identified
aa2ad4fb6e23a5ce02bc7e07191a65e327012c733b971e37dbc4e1fedf63f3c3,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.237406,52.628234,On or near THE COURTYARD,E01026860,Norwich 010C,Investigation complete; no suspect identified
9bd0719430d84a5f4773702e953138e1ed800619f0e3a1f9605405191eabedd8,2017-03,Norfolk Constabulary,Norfolk Constabulary,0.589331,52.534962,On or near Parking Area,E01026651,King's Lynn and West Norfolk 019D,Investigation complete; no suspect identified
dc6c97ac7785ee5eca3907077834af1a6aa841ae60495a4ae2fc2ae887b72125,2017-03,Norfolk Constabulary,Norfolk Constabulary,0.389534,52.561528,On or near BRIDGE STREET,E01026679,King's Lynn and West Norfolk 018A,Investigation complete; no suspect identified
527472ec63b37598164d3a75e8b9a93fd73ef94727f5e3e0f4e0166dbb95652d,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.132635,52.889831,On or near CHAPEL LANE,E01026733,North Norfolk 006C,Investigation complete; no suspect identified
bc00aa78497b9eeef95a5d4311c7c4afce6385aa43cd890cbc8ef581fd106342,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.097421,52.379484,On or near BREWERS GREEN LANE,E01026889,South Norfolk 015B,Investigation complete; no suspect identified
5503d04cf3246b0031bf5b2db4bce0fcd01bdffc5be2928e6dc6722e6f02ff92,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.099518,52.567705,On or near CAVICK ROAD,E01026885,South Norfolk 007B,Investigation complete; no suspect identified
4b6a9d6d4a9537d308920af14f851028c9deeb3a39b3cb2645fa7a7b01d6ba19,2017-03,Norfolk Constabulary,Norfolk Constabulary,1.248511,52.628713,On or near EARLHAM ROAD,E01026861,Norwich 010D,Investigation complete; no suspect identified
34568d6983a80788a11deeb3b0ddf227520a8293f85726c9e44217585f437209,2017-03,Norfolk Constabulary,Norfolk Constabulary,0.693673,52.650396,On or near ADASTRAL PLACE,E01026459,Breckland 007E,Investigation complete; no suspect identified
